Hour,Day #,Day of Week,No Persons Killed,No Persons Killed 10,Average,Difference
0,7,Sunday,3,26,2.6,0.4
0,6,Saturday,0,12,1.2,-1.2
0,5,Friday,1,12,1.2,-0.2
0,4,Thursday,3,0,0,3
0,3,Wednesday,1,5,0.5,0.5
0,2,Tuesday,0,8,0.8,-0.8
0,1,Monday,0,21,2.1,-2.1
1,7,Sunday,2,22,2.2,-0.2
1,6,Saturday,0,12,1.2,-1.2
1,5,Friday,0,5,0.5,-0.5
1,4,Thursday,1,8,0.8,0.2
1,3,Wednesday,0,5,0.5,-0.5
1,2,Tuesday,0,4,0.4,-0.4
1,1,Monday,0,18,1.8,-1.8
2,7,Sunday,1,17,1.7,-0.7
2,6,Saturday,0,12,1.2,-1.2
2,5,Friday,0,10,1,-1
2,4,Thursday,1,7,0.7,0.3
2,3,Wednesday,0,2,0.2,-0.2
2,2,Tuesday,0,3,0.3,-0.3
2,1,Monday,0,19,1.9,-1.9
3,7,Sunday,0,14,1.4,-1.4
3,6,Saturday,0,9,0.9,-0.9
3,5,Friday,0,6,0.6,-0.6
3,4,Thursday,0,5,0.5,-0.5
3,3,Wednesday,2,2,0.2,1.8
3,2,Tuesday,1,4,0.4,0.6
3,1,Monday,0,9,0.9,-0.9
4,7,Sunday,1,10,1,0
4,6,Saturday,0,5,0.5,-0.5
4,5,Friday,0,2,0.2,-0.2
4,4,Thursday,1,3,0.3,0.7
4,3,Wednesday,4,4,0.4,3.6
4,2,Tuesday,1,3,0.3,0.7
4,1,Monday,1,7,0.7,0.3
5,7,Sunday,0,10,1,-1
5,6,Saturday,0,10,1,-1
5,5,Friday,2,12,1.2,0.8
5,4,Thursday,1,5,0.5,0.5
5,3,Wednesday,1,7,0.7,0.3
5,2,Tuesday,1,18,1.8,-0.8
5,1,Monday,0,10,1,-1
6,7,Sunday,0,8,0.8,-0.8
6,6,Saturday,2,21,2.1,-0.1
6,5,Friday,0,28,2.8,-2.8
6,4,Thursday,1,21,2.1,-1.1
6,3,Wednesday,0,13,1.3,-1.3
6,2,Tuesday,3,18,1.8,1.2
6,1,Monday,0,13,1.3,-1.3
7,7,Sunday,1,11,1.1,-0.1
7,6,Saturday,0,12,1.2,-1.2
7,5,Friday,2,16,1.6,0.4
7,4,Thursday,0,16,1.6,-1.6
7,3,Wednesday,0,12,1.2,-1.2
7,2,Tuesday,0,11,1.1,-1.1
7,1,Monday,0,11,1.1,-1.1
8,7,Sunday,0,16,1.6,-1.6
8,6,Saturday,0,16,1.6,-1.6
8,5,Friday,1,23,2.3,-1.3
8,4,Thursday,1,13,1.3,-0.3
8,3,Wednesday,1,18,1.8,-0.8
8,2,Tuesday,2,15,1.5,0.5
8,1,Monday,0,7,0.7,-0.7
9,7,Sunday,4,16,1.6,2.4
9,6,Saturday,1,14,1.4,-0.4
9,5,Friday,0,12,1.2,-1.2
9,4,Thursday,0,15,1.5,-1.5
9,3,Wednesday,0,10,1,-1
9,2,Tuesday,1,16,1.6,-0.6
9,1,Monday,2,22,2.2,-0.2
10,7,Sunday,0,16,1.6,-1.6
10,6,Saturday,0,14,1.4,-1.4
10,5,Friday,2,19,1.9,0.1
10,4,Thursday,0,11,1.1,-1.1
10,3,Wednesday,1,16,1.6,-0.6
10,2,Tuesday,2,16,1.6,0.4
10,1,Monday,0,13,1.3,-1.3
11,7,Sunday,0,17,1.7,-1.7
11,6,Saturday,0,21,2.1,-2.1
11,5,Friday,0,27,2.7,-2.7
11,4,Thursday,1,23,2.3,-1.3
11,3,Wednesday,0,19,1.9,-1.9
11,2,Tuesday,1,17,1.7,-0.7
11,1,Monday,2,14,1.4,0.6
12,7,Sunday,1,30,3,-2
12,6,Saturday,4,14,1.4,2.6
12,5,Friday,0,13,1.3,-1.3
12,4,Thursday,1,19,1.9,-0.9
12,3,Wednesday,1,12,1.2,-0.2
12,2,Tuesday,2,20,2,0
12,1,Monday,2,17,1.7,0.3
13,7,Sunday,4,15,1.5,2.5
13,6,Saturday,1,25,2.5,-1.5
13,5,Friday,2,25,2.5,-0.5
13,4,Thursday,2,19,1.9,0.1
13,3,Wednesday,0,10,1,-1
13,2,Tuesday,1,18,1.8,-0.8
13,1,Monday,1,32,3.2,-2.2
14,7,Sunday,2,22,2.2,-0.2
14,6,Saturday,1,28,2.8,-1.8
14,5,Friday,2,23,2.3,-0.3
14,4,Thursday,0,23,2.3,-2.3
14,3,Wednesday,0,21,2.1,-2.1
14,2,Tuesday,0,25,2.5,-2.5
14,1,Monday,1,21,2.1,-1.1
15,7,Sunday,1,28,2.8,-1.8
15,6,Saturday,2,29,2.9,-0.9
15,5,Friday,3,31,3.1,-0.1
15,4,Thursday,2,23,2.3,-0.3
15,3,Wednesday,0,29,2.9,-2.9
15,2,Tuesday,4,25,2.5,1.5
15,1,Monday,2,22,2.2,-0.2
16,7,Sunday,0,21,2.1,-2.1
16,6,Saturday,0,28,2.8,-2.8
16,5,Friday,2,25,2.5,-0.5
16,4,Thursday,0,24,2.4,-2.4
16,3,Wednesday,1,22,2.2,-1.2
16,2,Tuesday,1,27,2.7,-1.7
16,1,Monday,0,40,4,-4
17,7,Sunday,4,21,2.1,1.9
17,6,Saturday,1,24,2.4,-1.4
17,5,Friday,1,14,1.4,-0.4
17,4,Thursday,4,24,2.4,1.6
17,3,Wednesday,3,20,2,1
17,2,Tuesday,0,21,2.1,-2.1
17,1,Monday,1,19,1.9,-0.9
18,7,Sunday,0,13,1.3,-1.3
18,6,Saturday,0,18,1.8,-1.8
18,5,Friday,0,19,1.9,-1.9
18,4,Thursday,1,18,1.8,-0.8
18,3,Wednesday,2,19,1.9,0.1
18,2,Tuesday,0,23,2.3,-2.3
18,1,Monday,1,18,1.8,-0.8
19,7,Sunday,1,25,2.5,-1.5
19,6,Saturday,1,14,1.4,-0.4
19,5,Friday,0,7,0.7,-0.7
19,4,Thursday,1,12,1.2,-0.2
19,3,Wednesday,0,11,1.1,-1.1
19,2,Tuesday,1,13,1.3,-0.3
19,1,Monday,0,15,1.5,-1.5
20,7,Sunday,0,18,1.8,-1.8
20,6,Saturday,0,21,2.1,-2.1
20,5,Friday,0,14,1.4,-1.4
20,4,Thursday,2,8,0.8,1.2
20,3,Wednesday,0,11,1.1,-1.1
20,2,Tuesday,0,16,1.6,-1.6
20,1,Monday,0,24,2.4,-2.4
21,7,Sunday,1,25,2.5,-1.5
21,6,Saturday,1,23,2.3,-1.3
21,5,Friday,1,14,1.4,-0.4
21,4,Thursday,0,15,1.5,-1.5
21,3,Wednesday,2,6,0.6,1.4
21,2,Tuesday,0,4,0.4,-0.4
21,1,Monday,0,7,0.7,-0.7
22,7,Sunday,0,11,1.1,-1.1
22,6,Saturday,2,21,2.1,-0.1
22,5,Friday,0,10,1,-1
22,4,Thursday,3,12,1.2,1.8
22,3,Wednesday,2,10,1,1
22,2,Tuesday,2,17,1.7,0.3
22,1,Monday,0,11,1.1,-1.1
23,7,Sunday,1,18,1.8,-0.8
23,6,Saturday,0,23,2.3,-2.3
23,5,Friday,1,10,1,0
23,4,Thursday,1,7,0.7,0.3
23,3,Wednesday,0,12,1.2,-1.2
23,2,Tuesday,0,14,1.4,-1.4
23,1,Monday,1,12,1.2,-0.2
