Z,Day,Month,Year,Month Names,Count,Date,Dates
A,1,1,2020,January,1096.00,1/01/2020,1-Jan
A,1,2,2020,February,1182.00,2/01/2020,1-Feb
A,1,3,2020,March,1012.00,3/01/2020,1-Mar
A,1,4,2020,April,502.00,4/01/2020,1-Apr
A,1,5,2020,May,777.00,5/01/2020,1-May
A,1,6,2020,June,479.00,6/01/2020,1-Jun
A,1,7,2020,July,429.00,7/01/2020,1-Jul
A,1,8,2020,August,335.00,8/01/2020,1-Aug
A,1,9,2020,September,154.00,9/01/2020,1-Sep
A,1,10,2020,October,89.00,10/01/2020,1-Oct
A,1,11,2020,November,110.00,11/01/2020,1-Nov
A,1,12,2020,December,132.00,12/01/2020,1-Dec
B,1,1,2019,January,1021.00,1/01/2019,1-Jan
B,1,2,2019,February,1067.00,2/01/2019,1-Feb
B,1,3,2019,March,1133.00,3/01/2019,1-Mar
B,1,4,2019,April,1056.00,4/01/2019,1-Apr
B,1,5,2019,May,1157.00,5/01/2019,1-May
B,1,6,2019,June,1023.00,6/01/2019,1-Jun
B,1,7,2019,July,1230.00,7/01/2019,1-Jul
B,1,8,2019,August,1264.00,8/01/2019,1-Aug
B,1,9,2019,September,1229.00,9/01/2019,1-Sep
B,1,10,2019,October,1413.00,10/01/2019,1-Oct
B,1,11,2019,November,1354.00,11/01/2019,1-Nov
B,1,12,2019,December,1217.00,12/01/2019,1-Dec
C,1,1,2018,January,1009.00,1/01/2018,1-Jan
C,1,2,2018,February,1067.00,2/01/2018,1-Feb
C,1,3,2018,March,1222.00,3/01/2018,1-Mar
C,1,4,2018,April,1040.00,4/01/2018,1-Apr
C,1,5,2018,May,1115.00,5/01/2018,1-May
C,1,6,2018,June,1023.00,6/01/2018,1-Jun
C,1,7,2018,July,1062.00,7/01/2018,1-Jul
C,1,8,2018,August,1082.00,8/01/2018,1-Aug
C,1,9,2018,September,952.00,9/01/2018,1-Sep
C,1,10,2018,October,1117.00,10/01/2018,1-Oct
C,1,11,2018,November,1070.00,11/01/2018,1-Nov
C,1,12,2018,December,1038.00,12/01/2018,1-Dec
,,,,,,,
